Base	Genre-base	Nombre-base	Collocatif	Genre-collocatif	Nombre-collocatif	Lemme collocatif	Compositionnel	Phrase	ID	Corpus	URL
colère	féminin	singulier	saine	féminin	singulier	sain	Non	Il aurait tant aimé que les deux fouettent enfin la terre d'une saine colère et redonnent aux hommes un peu de discernement.	s588 	FY : Corpus fantastique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s588&idxml=FY.fr.PERU.xml&user=userP&token=472cb413b4d1465f39ef11040bb42c34
colère	féminin	singulier	saine	féminin	singulier	sain	Non	Après, au sortir de la projection, le sentiment oscille entre gêne poisseuse et saine colère balancées sur Twitter.	s490295 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s490295&idxml=libe2010_2015.xml&user=userP&token=011243b28beb83988b492c677d3c1dd5
colère	féminin	singulier	saine	féminin	singulier	sain	Non	Comme elle ne s'est pas mise en colère depuis très longtemps, n'en ayant plus guère l'occasion, elle ne sait pas encore que c'est la colère qui monte en elle, une colère saine car justifiée par ce nigaud, ce mal élevé qui n'a pas appris qu'on cède la place aux anciens.	s1070 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1070&idxml=LITT.fr.CHATELET.xml&user=userP&token=26b3e81de0a5f893a3811366f9e9819d
colère	féminin	singulier	saine	féminin	singulier	sain	Non	"Cette productivité qui étonne, inquiète parfois même les proches, trouve sa source dans une saine colère: "" C'est mon énergie, lance-t-il."	s1372142 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1372142&idxml=lm2010_2015.xml&user=userP&token=c51fbfb33081dcfb5f896697a34f127a
colère	féminin	singulier	saine	féminin	singulier	sain	Non	Pauline le sentait soulevé de colère, mais une saine colère.	s87670 	HIST : Corpus historique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s87670&idxml=HIST.fr.CLAVEL.xml&user=userP&token=e3acb12be33ee521b8160dc923c05809
colère	féminin	singulier	saine	féminin	singulier	sain	Non	Les cinquante récits que je dus subir de leur promenade en ville, de cette exhibition honteuse, reflétaient la saine colère, la rancune de toute société morale lorsqu'on manque à ses lois.	s795 	HIST : Corpus historique de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s795&idxml=HIST.fr.SAGAN.xml&user=userP&token=c15538496f07af2b9d629c975c5677fe
colère	féminin	singulier	saine	féminin	singulier	sain	Non	Il serait venu pour faire un scandale, une sorte de provocation entre le politique et la poésie, une saine colère contre l'ordre établi, que ce soit celui de l'université ou celui de la francophonie, cette « gueule du loup » où il s'était engouffré en 1945, juste après le massacre de Sétif.	s7639 	GEN : Corpus général de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s7639&idxml=GEN.fr.BENJELLOUN.xml&user=userP&token=a8004f0518e15be8d4fff401e08978e8
colère	féminin	singulier	saine	féminin	singulier	sain	Non	Elle escomptait qu'il suffirait de dévoiler les faits pour que le monde entier soit secoué par une saine colère.	s1201 	GEN : Corpus général de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1201&idxml=GEN.fr.MAALOUF.xml&user=userP&token=0e5064e5ea7c3fb5a1680d8eb2717e54
colères	féminin	pluriel	saines	féminin	pluriel	sain	Non	"Les vrais dandys Leroy en profite pour nous livrer quelques saines colères contre les "" cyberautistes "" d'un monde envahi par "" Facebouc "" et "" Touiterre "" , tout en daubant les "" maccarthystes de gauche "" soumis au "" fascisme de la tolérance obligatoire, du bovarysme avec électronique communicationnelle embarquée à bord "" ."	s357915 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s357915&idxml=lfi2010_2011.xml&user=userP&token=06e0e904a054595a145e5a8f628afeb1
colères	féminin	pluriel	saines	féminin	pluriel	sain	Non	Au début de son premier mandat, Boris Eltsine plaisait pour son côté moujik doté d'une bonne descente et capable de saines colères.	s154687 	CONT : Corpus de contraste de phraseorom	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s154687&idxml=CONT.fr.PRESSE.xml&user=userP&token=3eeb6e2f7d99ed0b69b774d9ea3a8802
