Base	Genre-base	Nombre-base	Collocatif	Genre-collocatif	Nombre-collocatif	Lemme collocatif	Compositionnel	Phrase	ID	Corpus	URL
soleil	masculin	singulier	plomb	masculin	singulier	plomb	Non	Les hommes rentrèrent vers une heure de l'après-midi, par une chaleur presque torride, sous un soleil de plomb.	s963 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s963&idxml=LITT.fr.CARRIERE.xml&user=userP&token=64c968fef0f98d03689b6243536e0294
soleil	masculin	singulier	plomb	masculin	singulier	plomb	Non	Six heures de marche harassantes sous un soleil de plomb l'attendaient.	s2125 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2125&idxml=LITT.fr.GARDE.xml&user=userP&token=2c6df97e437cec10bbb4de514de6fc78
soleil	masculin	singulier	plomb	masculin	singulier	plomb	Non	Ce sont majoritairement des femmes qui piochent et transportent les gravats sous un soleil de plomb.	s340696 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s340696&idxml=lfi2010_2011.xml&user=userP&token=907b9a0d313c85d4dba85730a3b90541
soleil	masculin	singulier	plomb	masculin	singulier	plomb	Non	Sous un soleil de plomb, le curé entraîne une des filles pour quelques pas de danse sur le parking du supermarché.	s28223 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s28223&idxml=libe2010_2015.xml&user=userP&token=0488b15771004130dad2806a5baeffd4
soleil	masculin	singulier	plomb	masculin	singulier	plomb	Non	Tôt, hier matin, sous un soleil de plomb, une foule de fidèles convergeait vers l'esplanade située sur le front de mer, dans le centre de Beyrouth.	s214606 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s214606&idxml=libe2010_2015.xml&user=userP&token=f19f2a7c5e98fbccd5fdefe9017bd92e
soleil	masculin	singulier	plomb	masculin	singulier	plomb	Non	La famille Schaltzmann emménage provisoirement à Esslingen le 11 juillet 1977, sous un soleil de plomb.	s411 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s411&idxml=LITT.fr.DANTEC.xml&user=userP&token=1cee0cbae9e955d8619267fc5496bbb4
soleil	masculin	singulier	plomb	masculin	singulier	plomb	Non	Il ne pourrait certainement pas résister au soleil de plomb et on m'appellerait encore pour le surveiller sur son matelas.	s1255 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s1255&idxml=LITT.fr.GRISHAM.xml&user=userP&token=69ecd33fefd2911a13f6b21785bfb5f3
soleil	masculin	singulier	plomb	masculin	singulier	plomb	Non	Les visiteurs déambulent sous un soleil de plomb, à la recherche des rares lieux où joueront quand même quelques comédiens.	s2 	LITT : Sélection d’oeuvres de phraseorom (5M par sous-genre)	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s2&idxml=LITT.fr.GALLAY.xml&user=userP&token=669c3129eff7ab70ca7ddbacd251f38e
soleil	masculin	singulier	plomb	masculin	singulier	plomb	Non	Et marcher 3 kilomètres sous un soleil de plomb avec des morceaux de statue risque d'être fastidieux pour les touristes...	s200419 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s200419&idxml=libe2010_2015.xml&user=userP&token=66f4e907ea4f55176d6c73eaa29584f9
soleil	masculin	singulier	plomb	masculin	singulier	plomb	Non	Les linges qui flottent aux fenêtres des salles de classe protègent tant bien que mal les déplacés d'un soleil de plomb.	s156299 	Corpus de presse du Monde, Figaro, Libération 2010-2015	phraseotext.univ-grenoble-alpes.fr/lexicoscope/context.php?&idsent=s156299&idxml=lm2010_2015.xml&user=userP&token=d4883d158fff3f9a490deb586616c182
