				
source form		lf label		target form
attentat		Oper_1		commettre
attentat		Oper_1		perpétrer
basket		Oper_1		faire
basket		Oper_1		jouer
blague		Oper_1		dire
blague		Oper_1		faire
bonheur		Oper_1		goûter
boxe		Oper_1		faire
chantage		Oper_1		faire
chantage		Oper_1		exercer
chantage		Oper_1		livrer
chantage		Oper_1		recourir
chantage		Oper_1		user
chantage		Oper_1		pratiquer
cheveu		Oper_1		porter
cheveu		Oper_1		avoir
concert		Oper_1		donner
concert		Oper_1		produire
couple		Oper_1		former
crime		Oper_1		accomplir
crime		Oper_1		commettre
crime		Oper_1		perpétrer
cuisine		Oper_1		faire
danger		Oper_1		courir
demi-tour		Oper_1		faire
discours		Oper_1		prononcer
discours		Oper_1		faire
douche		Oper_1		être
douche		Oper_1		passer
douche		Oper_1		prendre
éclair		Oper_1		cracher
famille		Oper_1		appartenir
famille		Oper_1		faire partie
football		Oper_1		faire
football		Oper_1		jouer
gymnastique		Oper_1		faire
hold-up		Oper_1		accomplir
hold-up		Oper_1		commettre
hold-up		Oper_1		exécuter
hold-up		Oper_1		faire
hold-up		Oper_1		perpétrer
hold-up		Oper_1		réaliser
jogging		Oper_1		faire
judo		Oper_1		faire
karaté		Oper_1		faire
karaté		Oper_1		combattre
maladie		Oper_1		avoir
messe		Oper_1		célébrer
messe		Oper_1		dire
messe		Oper_1		officier
musique		Oper_1		faire
nation		Oper_1		appartenir
nation		Oper_1		faire partie
ouf		Oper_1		pousser
pâte		Oper_1		faire
ping-pong		Oper_1		faire
ping-pong		Oper_1		jouer
politique		Oper_1		appliquer
politique		Oper_1		conduire
politique		Oper_1		mener
politique		Oper_1		poursuivre
politique		Oper_1		pratiquer
pouvoir		Oper_1		avoir
pouvoir		Oper_1		exercer
pouvoir		Oper_1		posséder
pouvoir		Oper_1		tenir
question		Oper_1		poser
risque		Oper_1		courir
rouge		Oper_1		passer
rouge		Oper_1		virer
rugby		Oper_1		faire
rugby		Oper_1		jouer
spectacle		Oper_1		donner
sport		Oper_1		faire
téléphone		Oper_1		avoir
tempête		Oper_1		être
tempête		Oper_1		essuyer
tempête		Oper_1		subir
tempête		Oper_1		pris
tempête		Oper_1		surpris
tennis		Oper_1		faire
tennis		Oper_1		jouer
toilette		Oper_1		être
toilette		Oper_1		faire
toilette		Oper_1		procéder
toilette		Oper_1		réaliser
toilette		Oper_1		livrer
tornade		Oper_1		connaître
tornade		Oper_1		essuyer
tornade		Oper_1		subir
tournée		Oper_1		faire
tournée		Oper_1		effectuer
volley-ball		Oper_1		faire
volley-ball		Oper_1		jouer
voyage		Oper_1		faire
voyage		Oper_1		effectuer
musique		Oper_1		jouer
famille		Oper_1		appartenir
famille		Oper_1		faire partie
bien		Oper_1		éprouver
bien		Oper_1		ressentir
éloge		Oper_1		prononcer
éloge		Oper_1		faire
cinéma		Oper_1		faire
majorité		Oper_1		appartenir
majorité		Oper_1		faire partie
poisson		Oper_1		être
colle		Oper_1		poser
exclamation		Oper_1		pousser
coup de soleil		Oper_1		avoir
vaisselle		Oper_1		faire
volte-face		Oper_1		faire
volte-face		Oper_1		faire
cri		Oper_1		faire
cri		Oper_1		pousser
cri		Oper_1		lancer
cri		Oper_1		jeter
